system,system_domain,n_atoms,n_configs,train_configs,val_configs,test_id_configs,test_ood_configs,train_dft_available,val_dft_available,test_id_dft_available,test_ood_dft_available,train_cc_available,val_cc_available,test_id_cc_available,test_ood_cc_available
C10H10,test_ood,20,392,0,0,0,392,0,0,0,248,0,0,0,46
C10H10N2,test_ood,22,5024,0,0,0,5024,0,0,0,3272,0,0,0,214
C10H10N2O1,seen,23,2279,1367,456,456,0,1241,410,414,0,26,8,9,0
C10H10N2O2,seen,24,836,502,167,167,0,294,101,109,0,28,7,11,0
C10H10N4,test_ood,24,206,0,0,0,206,0,0,0,198,0,0,0,3
C10H10N4O1,seen,25,6,4,1,1,0,0,0,0,0,0,0,0,0
C10H10N4O2,test_ood,26,1,0,0,0,1,0,0,0,0,0,0,0,0
C10H10O1,seen,21,891,535,178,178,0,458,146,134,0,21,4,9,0
C10H10O2,seen,22,2457,1474,492,491,0,1356,453,453,0,26,14,13,0
C10H10O3,seen,23,1332,799,267,266,0,486,167,168,0,46,14,16,0
C10H10O4,seen,24,2,1,1,0,0,0,0,0,0,0,0,0,0
C10H10O5,test_ood,25,3,0,0,0,3,0,0,0,0,0,0,0,0
C10H11N1,seen,22,886,532,177,177,0,523,173,174,0,13,2,5,0
C10H11N1O1,seen,23,2883,1730,577,576,0,1563,522,514,0,15,10,10,0
C10H11N1O2,seen,24,1781,1069,356,356,0,891,282,300,0,44,16,6,0
C10H11N1O3,seen,25,209,125,42,42,0,119,40,41,0,1,1,0,0
C10H11N3,seen,24,1619,971,324,324,0,956,318,321,0,26,12,6,0
C10H11N3O1,seen,25,275,165,55,55,0,163,55,53,0,2,0,1,0
C10H11N3O2,test_ood,26,140,0,0,0,140,0,0,0,137,0,0,0,0
C10H11N5,test_ood,26,1,0,0,0,1,0,0,0,0,0,0,0,0
C10H12,seen,22,254,152,51,51,0,149,51,49,0,0,0,0,0
C10H12N2,test_ood,24,1178,0,0,0,1178,0,0,0,878,0,0,0,76
C10H12N2O1,seen,25,1359,815,272,272,0,804,269,265,0,18,3,6,0
C10H12N2O2,seen,26,198,119,40,39,0,110,36,37,0,2,1,2,0
C10H12N2O3,seen,27,3,2,1,0,0,0,0,0,0,0,0,0,0
C10H12N2O4,seen,28,2,1,1,0,0,0,0,0,0,0,0,0,0
C10H12N4,seen,26,123,74,25,24,0,70,24,24,0,2,1,1,0
C10H12N4O1,seen,27,239,143,48,48,0,138,45,46,0,3,1,0,0
C10H12N4O2,test_ood,28,3,0,0,0,3,0,0,0,0,0,0,0,0
C10H12N6,test_ood,28,1,0,0,0,1,0,0,0,0,0,0,0,0
C10H12O1,seen,23,1213,728,243,242,0,515,192,173,0,34,12,11,0
C10H12O2,test_ood,24,1811,0,0,0,1811,0,0,0,1369,0,0,0,46
C10H12O3,seen,25,1076,646,215,215,0,638,214,213,0,16,3,7,0
C10H12O4,seen,26,596,358,119,119,0,351,115,115,0,7,3,2,0
C10H13N1,test_ood,24,2540,0,0,0,2540,0,0,0,1765,0,0,0,101
C10H13N1O1,seen,25,2772,1663,555,554,0,1646,548,544,0,20,7,5,0
C10H13N1O2,test_ood,26,1317,0,0,0,1317,0,0,0,1304,0,0,0,18
C10H13N1O3,test_ood,27,1464,0,0,0,1464,0,0,0,1432,0,0,0,51
C10H13N1O4,seen,28,2,1,1,0,0,0,0,0,0,0,0,0,0
C10H13N3,seen,26,1837,1102,368,367,0,1085,365,365,0,34,7,9,0
C10H13N3O1,seen,27,332,199,67,66,0,197,66,62,0,5,2,1,0
C10H13N3O2,test_ood,28,125,0,0,0,125,0,0,0,119,0,0,0,0
C10H13N5,seen,28,146,88,29,29,0,83,27,29,0,0,0,0,0
C10H13N5O1,seen,29,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H14,seen,24,244,146,49,49,0,57,20,23,0,4,5,2,0
C10H14N2,test_ood,26,1237,0,0,0,1237,0,0,0,1216,0,0,0,17
C10H14N2O1,seen,27,694,416,139,139,0,407,136,135,0,8,2,5,0
C10H14N2O2,test_ood,28,99,0,0,0,99,0,0,0,96,0,0,0,3
C10H14N2O3,test_ood,29,11,0,0,0,11,0,0,0,0,0,0,0,0
C10H14N2O4,test_ood,30,3,0,0,0,3,0,0,0,0,0,0,0,0
C10H14N4,test_ood,28,467,0,0,0,467,0,0,0,458,0,0,0,11
C10H14N4O1,seen,29,244,146,49,49,0,141,49,47,0,4,3,2,0
C10H14N4O2,seen,30,2,1,1,0,0,0,0,0,0,0,0,0,0
