config_index,num_atoms,ref_energy,pred_energy,error,sq_error,aleatoric_var,epistemic_var,total_var,aleatoric_var_raw,epistemic_var_raw,total_var_raw
0,20.0,-525.6629638671875,-525.6664428710938,-0.00347900390625,1.2103468179702759e-05,0.0001223279832629487,2.9143131541786715e-05,0.00015147111844271421,0.0001223279832629487,2.9143131541786715e-05,0.00015147111844271421
1,20.0,-525.73681640625,-525.7318725585938,0.00494384765625,2.4441629648208618e-05,0.0002041983971139416,7.386915240203962e-05,0.0002780675422400236,0.0002041983971139416,7.386915240203962e-05,0.0002780675422400236
2,22.0,-613.204345703125,-613.2138671875,-0.009521484375,9.065866470336914e-05,0.000442260381532833,0.00018257871852256358,0.0006248391000553966,0.000442260381532833,0.00018257871852256358,0.0006248391000553966
3,22.0,-613.3052978515625,-613.3176879882812,-0.01239013671875,0.00015351548790931702,0.0001984901464311406,5.9789977967739105e-05,0.00025828013895079494,0.0001984901464311406,5.9789977967739105e-05,0.00025828013895079494
4,23.0,-675.4181518554688,-675.4074096679688,0.0107421875,0.00011539459228515625,0.00024543629842810333,0.0003140987828373909,0.0005595351103693247,0.00024543629842810333,0.0003140987828373909,0.0005595351103693247
5,21.0,-597.9862670898438,-598.017578125,-0.03131103515625,0.0009803809225559235,0.00030143061303533614,0.00023135282390285283,0.0005327834514901042,0.00030143061303533614,0.00023135282390285283,0.0005327834514901042
6,21.0,-597.9055786132812,-597.9801635742188,-0.0745849609375,0.005562916398048401,0.000502327224239707,0.00027155393036082387,0.0007738811546005309,0.000502327224239707,0.00027155393036082387,0.0007738811546005309
7,22.0,-663.9009399414062,-663.9100952148438,-0.0091552734375,8.381903171539307e-05,0.00018746877321973443,9.584966755937785e-05,0.0002833184553310275,0.00018746877321973443,9.584966755937785e-05,0.0002833184553310275
8,22.0,-663.8467407226562,-663.8463745117188,0.0003662109375,1.341104507446289e-07,0.00019837291620206088,0.00010679252591216937,0.00030516544939018786,0.00019837291620206088,0.00010679252591216937,0.00030516544939018786
9,23.0,-723.9461059570312,-723.9391479492188,0.0069580078125,4.8413872718811035e-05,0.0001788638619473204,9.146276715910062e-05,0.0002703266218304634,0.0001788638619473204,9.146276715910062e-05,0.0002703266218304634
10,22.0,-546.2505493164062,-546.2736206054688,-0.0230712890625,0.0005322843790054321,0.0002360719518037513,0.0001358689769404009,0.0003719409287441522,0.0002360719518037513,0.0001358689769404009,0.0003719409287441522
11,23.0,-611.3776245117188,-611.4454956054688,-0.06787109375,0.004606485366821289,0.000535795115865767,0.00010994654439855367,0.0006457416457124054,0.000535795115865767,0.00010994654439855367,0.0006457416457124054
12,24.0,-671.28955078125,-671.2816772460938,0.00787353515625,6.199255585670471e-05,0.000155630026711151,3.6606194043997675e-05,0.00019223621347919106,0.000155630026711151,3.6606194043997675e-05,0.00019223621347919106
13,24.0,-671.2800903320312,-671.2654418945312,0.0146484375,0.00021457672119140625,0.00018271124281454831,8.961334970081225e-05,0.0002723245997913182,0.00018271124281454831,8.961334970081225e-05,0.0002723245997913182
14,25.0,-726.15478515625,-726.1613159179688,-0.00653076171875,4.2650848627090454e-05,0.00017515153740532696,0.0001527322456240654,0.00032788378302939236,0.00017515153740532696,0.0001527322456240654,0.00032788378302939236
15,24.0,-624.7723999023438,-624.7680053710938,0.00439453125,1.9311904907226562e-05,0.0003397396649233997,0.0003492416872177273,0.0006889813812449574,0.0003397396649233997,0.0003492416872177273,0.0006889813812449574
16,25.0,-681.6187744140625,-681.6234741210938,-0.00469970703125,2.208724617958069e-05,0.0001834812865126878,8.095279190456495e-05,0.00026443408569321036,0.0001834812865126878,8.095279190456495e-05,0.00026443408569321036
17,24.0,-563.4733276367188,-563.4716186523438,0.001708984375,2.9206275939941406e-06,9.13362528081052e-05,2.755802051979117e-05,0.00011889426968991756,9.13362528081052e-05,2.755802051979117e-05,0.00011889426968991756
18,25.0,-622.7860717773438,-622.7943115234375,-0.00823974609375,6.789341568946838e-05,0.00024756809580139816,4.605539288604632e-05,0.00029362348141148686,0.00024756809580139816,4.605539288604632e-05,0.00029362348141148686
19,26.0,-677.5071411132812,-677.5172119140625,-0.01007080078125,0.00010142102837562561,0.00016847641381900758,5.38544736627955e-05,0.00022233088384382427,0.00016847641381900758,5.38544736627955e-05,0.00022233088384382427
20,26.0,-634.608154296875,-634.5881958007812,0.01995849609375,0.000398341566324234,0.00024368571757804602,0.00012721326493192464,0.00037089898250997066,0.00024368571757804602,0.00012721326493192464,0.00037089898250997066
21,27.0,-686.67529296875,-686.6879272460938,-0.01263427734375,0.00015962496399879456,0.00023245914781000465,0.00013341028534341604,0.0003658694331534207,0.00023245914781000465,0.00013341028534341604,0.0003658694331534207
22,23.0,-547.3383178710938,-547.3422241210938,-0.00390625,1.52587890625e-05,0.000479985581478104,0.0002768551930785179,0.0007568408036604524,0.000479985581478104,0.0002768551930785179,0.0007568408036604524
23,24.0,-609.9173583984375,-609.9166259765625,0.000732421875,5.364418029785156e-07,0.0001701682194834575,9.280536323785782e-05,0.00026297359727323055,0.0001701682194834575,9.280536323785782e-05,0.00026297359727323055
24,25.0,-667.259765625,-667.312744140625,-0.052978515625,0.002806723117828369,0.0014130723429843783,0.00010161232057726011,0.0015146846417337656,0.0014130723429843783,0.00010161232057726011,0.0015146846417337656
25,26.0,-720.3893432617188,-720.3770751953125,0.01226806640625,0.0001505054533481598,0.0001596844958839938,2.7209893232793547e-05,0.00018689439457375556,0.0001596844958839938,2.7209893232793547e-05,0.00018689439457375556
26,25.0,-563.7103271484375,-563.7723388671875,-0.06201171875,0.0038454532623291016,0.0008807238191366196,0.0004526548145804554,0.0013333786046132445,0.0008807238191366196,0.0004526548145804554,0.0013333786046132445
27,26.0,-620.7918090820312,-620.794677734375,-0.00286865234375,8.229166269302368e-06,0.0002149000792996958,9.648781269788742e-05,0.000311387877445668,0.0002149000792996958,9.648781269788742e-05,0.000311387877445668
28,27.0,-673.6312255859375,-673.6341552734375,-0.0029296875,8.58306884765625e-06,0.00016723782755434513,4.777815047418699e-05,0.00021501598530448973,0.00016723782755434513,4.777815047418699e-05,0.00021501598530448973
29,26.0,-577.8612060546875,-577.8876342773438,-0.02642822265625,0.0006984509527683258,0.0003456573176663369,0.00012058764696121216,0.00046624496462754905,0.0003456573176663369,0.00012058764696121216,0.00046624496462754905
30,26.0,-578.079345703125,-578.054931640625,0.0244140625,0.0005960464477539062,0.00019441723998170346,8.671004616189748e-05,0.00028112728614360094,0.00019441723998170346,8.671004616189748e-05,0.00028112728614360094
31,26.0,-521.368408203125,-521.3715209960938,-0.00311279296875,9.689480066299438e-06,0.00016747320478316396,0.00016768388741184026,0.0003351570921950042,0.00016747320478316396,0.00016768388741184026,0.0003351570921950042
32,27.0,-577.67724609375,-577.6963500976562,-0.01910400390625,0.00036496296525001526,0.0002293088473379612,0.00018250309221912175,0.0004118119250051677,0.0002293088473379612,0.00018250309221912175,0.0004118119250051677
33,27.0,-618.9912719726562,-619.0187377929688,-0.0274658203125,0.0007543712854385376,0.000342194369295612,0.00016347094788216054,0.0005056653171777725,0.000342194369295612,0.00016347094788216054,0.0005056653171777725
34,26.0,-464.7734375,-464.76904296875,0.00439453125,1.9311904907226562e-05,0.00034426324418745935,0.00018182411440648139,0.0005260873585939407,0.00034426324418745935,0.00018182411440648139,0.0005260873585939407
35,27.0,-523.0660400390625,-523.212890625,-0.1468505859375,0.021565094590187073,0.0013847514055669308,0.00041951052844524384,0.0018042619340121746,0.0013847514055669308,0.00041951052844524384,0.0018042619340121746
36,29.0,-589.9161987304688,-589.8953247070312,0.0208740234375,0.0004357248544692993,0.00034664920531213284,7.608104351675138e-05,0.00042273025610484183,0.00034664920531213284,7.608104351675138e-05,0.00042273025610484183
37,34.0,-771.32958984375,-771.3233642578125,0.0062255859375,3.8757920265197754e-05,0.00010808341176016256,8.908975723898038e-05,0.00019717316899914294,0.00010808341176016256,8.908975723898038e-05,0.00019717316899914294
38,34.0,-771.3230590820312,-771.3273315429688,-0.0042724609375,1.825392246246338e-05,0.00014068793097976595,3.179777559125796e-05,0.00017248571384698153,0.00014068793097976595,3.179777559125796e-05,0.00017248571384698153
39,26.0,-408.23431396484375,-408.2364807128906,-0.002166748046875,4.694797098636627e-06,0.00019347193301655352,2.7245190722169355e-05,0.00022071712010074407,0.00019347193301655352,2.7245190722169355e-05,0.00022071712010074407
40,28.0,-485.2471618652344,-485.2511291503906,-0.00396728515625,1.5739351511001587e-05,0.0002781926013994962,8.375765901291743e-05,0.000361950253136456,0.0002781926013994962,8.375765901291743e-05,0.000361950253136456
41,29.0,-539.05224609375,-539.0761108398438,-0.02386474609375,0.0005695261061191559,0.0001340723829343915,0.0001224145235028118,0.0002564869064372033,0.0001340723829343915,0.0001224145235028118,0.0002564869064372033
42,30.0,-589.2075805664062,-589.2162475585938,-0.0086669921875,7.511675357818604e-05,0.0002774650347419083,0.0002832168829627335,0.0005606819177046418,0.0002774650347419083,0.0002832168829627335,0.0005606819177046418
43,31.0,-636.41748046875,-636.4189453125,-0.00146484375,2.1457672119140625e-06,0.00017711719556245953,4.1659921407699585e-05,0.0002187771169701591,0.00017711719556245953,4.1659921407699585e-05,0.0002187771169701591
44,31.0,-636.3992919921875,-636.4210815429688,-0.02178955078125,0.0004747845232486725,0.00011721488408511505,2.2481195628643036e-05,0.0001396960869897157,0.00011721488408511505,2.2481195628643036e-05,0.0001396960869897157
45,33.0,-721.8694458007812,-721.894775390625,-0.02532958984375,0.0006415881216526031,9.726439748192206e-05,4.6210549044189975e-05,0.00014347494288813323,9.726439748192206e-05,4.6210549044189975e-05,0.00014347494288813323
46,35.0,-797.492919921875,-797.510009765625,-0.01708984375,0.00029206275939941406,9.422713628737256e-05,6.211250729393214e-05,0.00015633963630534708,9.422713628737256e-05,6.211250729393214e-05,0.00015633963630534708
47,34.0,-727.9865112304688,-727.9950561523438,-0.008544921875,7.301568984985352e-05,0.0001082685703295283,4.0735303628025576e-05,0.00014900387031957507,0.0001082685703295283,4.0735303628025576e-05,0.00014900387031957507
48,27.0,-468.3497314453125,-468.6918029785156,-0.342071533203125,0.11701293289661407,0.009902575053274632,0.006206451915204525,0.016109026968479156,0.009902575053274632,0.006206451915204525,0.016109026968479156
49,28.0,-525.1041870117188,-525.09423828125,0.00994873046875,9.89772379398346e-05,0.00014961074339225888,7.269214984262362e-05,0.0002223028859589249,0.00014961074339225888,7.269214984262362e-05,0.0002223028859589249
50,28.0,-525.1221313476562,-525.1312866210938,-0.0091552734375,8.381903171539307e-05,0.00015919737052172422,0.0002196019486291334,0.00037879933370277286,0.00015919737052172422,0.0002196019486291334,0.00037879933370277286
51,28.0,-432.823974609375,-432.8211975097656,0.002777099609375,7.712282240390778e-06,0.00018962030299007893,7.377108704531565e-05,0.00026339138275943696,0.00018962030299007893,7.377108704531565e-05,0.00026339138275943696
52,29.0,-488.1949768066406,-488.24957275390625,-0.054595947265625,0.002980717457830906,0.0006554399733431637,0.00044427401735447347,0.0010997139615938067,0.0006554399733431637,0.00044427401735447347,0.0010997139615938067
53,34.0,-684.7164306640625,-684.7227172851562,-0.00628662109375,3.9521604776382446e-05,0.00011807769624283537,6.526503420900553e-05,0.0001833427231758833,0.00011807769624283537,6.526503420900553e-05,0.0001833427231758833
54,36.0,-760.322998046875,-760.3367309570312,-0.01373291015625,0.0001885928213596344,9.034985851030797e-05,5.169585347175598e-05,0.00014204571198206395,9.034985851030797e-05,5.169585347175598e-05,0.00014204571198206395
55,35.0,-681.5243530273438,-681.5196533203125,0.00469970703125,2.208724617958069e-05,9.26583306863904e-05,5.69231815461535e-05,0.0001495815085945651,9.26583306863904e-05,5.69231815461535e-05,0.0001495815085945651
56,37.0,-725.1888427734375,-725.1785278320312,0.01031494140625,0.00010639801621437073,8.675390563439578e-05,4.766695201396942e-05,0.0001344208576483652,8.675390563439578e-05,4.766695201396942e-05,0.0001344208576483652
57,37.0,-725.1888427734375,-725.1847534179688,0.00408935546875,1.6722828149795532e-05,8.927609451347962e-05,2.3410841095028445e-05,0.00011268693197052926,8.927609451347962e-05,2.3410841095028445e-05,0.00011268693197052926
58,29.0,-437.5097961425781,-437.51708984375,-0.007293701171875,5.319807678461075e-05,0.00029988944879733026,0.0002428809239063412,0.0005427703727036715,0.00029988944879733026,0.0002428809239063412,0.0005427703727036715
59,30.0,-491.1014709472656,-491.0949401855469,0.00653076171875,4.2650848627090454e-05,0.00026043091202154756,0.00011321515921736136,0.0003736460639629513,0.00026043091202154756,0.00011321515921736136,0.0003736460639629513
60,31.0,-541.3041381835938,-541.3222045898438,-0.01806640625,0.00032639503479003906,0.0001951661688508466,0.000239804940065369,0.0004349711234681308,0.0001951661688508466,0.000239804940065369,0.0004349711234681308
