theory_key        , system    , n_configs, valid_configs, missing_configs, coverage_fraction    , coverage_type
ccsd(t)_cbs.energy, C4H5N3O1  ,     59141,          6346,           52795, 0.10730288632251737  , partial
ccsd(t)_cbs.energy, H4O2      ,     58262,          5813,           52449, 0.09977343723181491  , partial
ccsd(t)_cbs.energy, C5H8N2O1  ,     52532,          5632,           46900, 0.1072108429147948   , partial
ccsd(t)_cbs.energy, C4H6N2O2  ,     51684,          5625,           46059, 0.1088344555374971   , partial
ccsd(t)_cbs.energy, C3H5N3O2  ,     49066,          5541,           43525, 0.11292952349896059  , partial
ccsd(t)_cbs.energy, C3H4N4O1  ,     49667,          5515,           44152, 0.11103952322467635  , partial
ccsd(t)_cbs.energy, C4H7N3O1  ,     51694,          5392,           46302, 0.1043061090261926   , partial
ccsd(t)_cbs.energy, C4H4N2O2  ,     46225,          5033,           41192, 0.10888047593293672  , partial
ccsd(t)_cbs.energy, C5H6N2O1  ,     47308,          4936,           42372, 0.10433753276401454  , partial
ccsd(t)_cbs.energy, C6H9N1O1  ,     45000,          4833,           40167, 0.1074               , partial
ccsd(t)_cbs.energy, C3H3N3O2  ,     41575,          4779,           36796, 0.11494888755261576  , partial
ccsd(t)_cbs.energy, C3H6N4O1  ,     39067,          4171,           34896, 0.10676530063736657  , partial
ccsd(t)_cbs.energy, C5H7N1O2  ,     35724,          3908,           31816, 0.10939424476542381  , partial
ccsd(t)_cbs.energy, C5H7N3    ,     35739,          3883,           31856, 0.10864881502000616  , partial
ccsd(t)_cbs.energy, C4H6N4    ,     34606,          3714,           30892, 0.10732242963647923  , partial
ccsd(t)_cbs.energy, C5H9N3    ,     34409,          3682,           30727, 0.10700688773286059  , partial
ccsd(t)_cbs.energy, C6H10N2   ,     32396,          3471,           28925, 0.10714285714285714  , partial
ccsd(t)_cbs.energy, C6H8O2    ,     30436,          3449,           26987, 0.11331975292416875  , partial
ccsd(t)_cbs.energy, C5H5N1O2  ,     31683,          3339,           28344, 0.10538774737240791  , partial
ccsd(t)_cbs.energy, C3H4N2O3  ,     29125,          3327,           25798, 0.11423175965665236  , partial
ccsd(t)_cbs.energy, C6H7N1O1  ,     30990,          3212,           27778, 0.10364633752823492  , partial
ccsd(t)_cbs.energy, C4H8N4    ,     28090,          2975,           25115, 0.10590957636169455  , partial
ccsd(t)_cbs.energy, C3H2N4O1  ,     20758,          2951,           17807, 0.14216205800173426  , partial
ccsd(t)_cbs.energy, C2H4N4O2  ,     25513,          2912,           22601, 0.1141378904872026   , partial
ccsd(t)_cbs.energy, C4H3N3O1  ,     24905,          2906,           21999, 0.11668339690825136  , partial
ccsd(t)_cbs.energy, C3H7N3O2  ,     26429,          2841,           23588, 0.1074955541261493   , partial
ccsd(t)_cbs.energy, C2H3N5O1  ,     23881,          2756,           21125, 0.11540555253130104  , partial
ccsd(t)_cbs.energy, C6H8N2    ,     26351,          2683,           23668, 0.10181776782664795  , partial
ccsd(t)_cbs.energy, C4H4N4    ,     21007,          2666,           18341, 0.12691007759318323  , partial
ccsd(t)_cbs.energy, C4H6N2O1  ,     30892,          2599,           28293, 0.08413181406189305  , partial
ccsd(t)_cbs.energy, C5H4N2O1  ,     21971,          2587,           19384, 0.11774611988530335  , partial
ccsd(t)_cbs.energy, C4H8N2O2  ,     24553,          2583,           21970, 0.10520099376858225  , partial
