system,system_domain,n_atoms,n_configs,train_configs,val_configs,test_id_configs,test_ood_configs,train_dft_available,val_dft_available,test_id_dft_available,test_ood_dft_available,train_cc_available,val_cc_available,test_id_cc_available,test_ood_cc_available
C10H10,test_ood,20,392,0,0,0,392,0,0,0,248,0,0,0,46
C10H10N2,test_ood,22,5024,0,0,0,5024,0,0,0,3272,0,0,0,214
C10H10N2O1,seen,23,2279,1367,456,456,0,1251,407,407,0,29,6,8,0
C10H10N2O2,seen,24,836,502,167,167,0,289,106,109,0,28,10,8,0
C10H10N4,seen,24,206,124,41,41,0,119,39,40,0,2,0,1,0
C10H10N4O1,test_ood,25,6,0,0,0,6,0,0,0,0,0,0,0,0
C10H10N4O2,seen,26,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H10O1,seen,21,891,535,178,178,0,451,141,146,0,20,7,7,0
C10H10O2,seen,22,2457,1474,492,491,0,1363,457,442,0,33,14,6,0
C10H10O3,seen,23,1332,799,267,266,0,477,169,175,0,41,16,19,0
C10H10O4,seen,24,2,1,1,0,0,0,0,0,0,0,0,0,0
C10H10O5,seen,25,3,2,1,0,0,0,0,0,0,0,0,0,0
C10H11N1,seen,22,886,532,177,177,0,524,176,170,0,10,6,4,0
C10H11N1O1,test_ood,23,2883,0,0,0,2883,0,0,0,2599,0,0,0,35
C10H11N1O2,test_ood,24,1781,0,0,0,1781,0,0,0,1473,0,0,0,66
C10H11N1O3,test_ood,25,209,0,0,0,209,0,0,0,200,0,0,0,2
C10H11N3,seen,24,1619,971,324,324,0,951,320,324,0,28,10,6,0
C10H11N3O1,seen,25,275,165,55,55,0,162,54,55,0,2,1,0,0
C10H11N3O2,test_ood,26,140,0,0,0,140,0,0,0,137,0,0,0,0
C10H11N5,seen,26,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H12,seen,22,254,152,51,51,0,152,49,48,0,0,0,0,0
C10H12N2,seen,24,1178,707,236,235,0,520,173,185,0,38,18,20,0
C10H12N2O1,test_ood,25,1359,0,0,0,1359,0,0,0,1338,0,0,0,27
C10H12N2O2,seen,26,198,119,40,39,0,111,36,36,0,5,0,0,0
C10H12N2O3,seen,27,3,2,1,0,0,0,0,0,0,0,0,0,0
C10H12N2O4,seen,28,2,1,1,0,0,0,0,0,0,0,0,0,0
C10H12N4,seen,26,123,74,25,24,0,70,25,23,0,4,0,0,0
C10H12N4O1,seen,27,239,143,48,48,0,137,45,47,0,2,2,0,0
C10H12N4O2,seen,28,3,2,1,0,0,0,0,0,0,0,0,0,0
C10H12N6,seen,28,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H12O1,seen,23,1213,728,243,242,0,537,175,168,0,36,11,10,0
C10H12O2,seen,24,1811,1087,362,362,0,819,274,276,0,28,9,9,0
C10H12O3,seen,25,1076,646,215,215,0,638,214,213,0,13,7,6,0
C10H12O4,seen,26,596,358,119,119,0,350,117,114,0,7,1,4,0
C10H13N1,seen,24,2540,1524,508,508,0,1047,355,363,0,68,12,21,0
C10H13N1O1,seen,25,2772,1663,555,554,0,1643,549,546,0,17,8,7,0
C10H13N1O2,test_ood,26,1317,0,0,0,1317,0,0,0,1304,0,0,0,18
C10H13N1O3,test_ood,27,1464,0,0,0,1464,0,0,0,1432,0,0,0,51
C10H13N1O4,test_ood,28,2,0,0,0,2,0,0,0,0,0,0,0,0
C10H13N3,test_ood,26,1837,0,0,0,1837,0,0,0,1815,0,0,0,50
C10H13N3O1,seen,27,332,199,67,66,0,194,66,65,0,5,2,1,0
C10H13N3O2,seen,28,125,75,25,25,0,70,25,24,0,0,0,0,0
C10H13N5,seen,28,146,88,29,29,0,83,29,27,0,0,0,0,0
C10H13N5O1,seen,29,1,1,0,0,0,0,0,0,0,0,0,0,0
C10H14,test_ood,24,244,0,0,0,244,0,0,0,100,0,0,0,11
C10H14N2,seen,26,1237,742,248,247,0,730,246,240,0,9,4,4,0
C10H14N2O1,test_ood,27,694,0,0,0,694,0,0,0,678,0,0,0,15
C10H14N2O2,test_ood,28,99,0,0,0,99,0,0,0,96,0,0,0,3
C10H14N2O3,seen,29,11,7,2,2,0,0,0,0,0,0,0,0,0
C10H14N2O4,test_ood,30,3,0,0,0,3,0,0,0,0,0,0,0,0
C10H14N4,test_ood,28,467,0,0,0,467,0,0,0,458,0,0,0,11
C10H14N4O1,seen,29,244,146,49,49,0,141,48,48,0,4,4,1,0
C10H14N4O2,seen,30,2,1,1,0,0,0,0,0,0,0,0,0,0
C10H14N4O3,seen,31,1,1,0,0,0,0,0,0,0,0,0,0,0
